Partei,lfdnr,familienname,vorname,titel,Geb.,Beruf,PLZ,ORT,LPL,RPL
NEOS,265,Pittracher,Elmar,Ing.,1972,Bautechniker,2102,Bisamberg,3,3A
NEOS,266,Plangger,Julian,\N,1998,Zivildiener,6020,Innsbruck,7,7D
NEOS,267,Pohoryles,Ronald,Dr.,1952,Institutsvorstand,1030,Wien,\N,9A
NEOS,268,Posch,Eduard,Mag.,1957,Pensionist,7423,Pinkafeld,1,1B
NEOS,269,Pötsch,Ernst Bernhard,Dipl.-Ing.,1988,Jungunternehmer,1070,Wien,6,6C
NEOS,270,Pötsch,Helga,Dr.,1961,Biobäuerin,8503,St. Josef,6,6C
NEOS,271,Primus,Barbara,Mag.,1952,Pensionierte Apothekerin,8042,Graz,6,6A
NEOS,272,Prischl,Markus,"Mag., Bed",1978,Lehrer,4060,Leonding,4,4A
NEOS,273,Pruntsch,Anton,Dr.,1962,Arzt für Allgemeinmedizin,9201,Krumpendorf,2,2B
NEOS,274,Pucher,Gerhard,Ing.,1964,Chemotechniker,8055,Graz,6,6A
NEOS,275,Pucher,Gernot,\N,1990,Chemotechniker,8055,Graz,6,\N
NEOS,276,Pucher,Jürgen,\N,1992,Polizeischüler,8047,Graz,6,6A
NEOS,277,Pucher,Sylvia,\N,1965,Landeskoordinatorin,8302,Nestelbach,6,6A
NEOS,278,Puchner,Robert,\N,1976,Diplomierter Sozialbetreuer,9360,Friesach,2,2D
NEOS,279,Ralser,Emanuel,\N,1983,Angestellter,6020,Innsbruck,\N,7A
NEOS,280,Reidinger,Roland,\N,1969,Unternehmer,2231,Strasshof,3,3G
NEOS,281,Reinisch,Elisabeth,\N,1969,Unternehmer,6020,Innsbruck,\N,7E
NEOS,282,Reinstadler,Adrian,\N,1992,Student,6065,Thauer,7,7C
NEOS,283,Reisinger-Chowdhury,Nandita,Mag.,1960,Unternehmerin,1190,Wien,9,\N
NEOS,284,Riederer,Katharina,\N,1997,Studentin,3580,Horn,3,3B
NEOS,285,Rößlhuber,Lukas,\N,1993,Student,5026,Salzburg,5,5A
NEOS,286,Rudigier,Emanuel,\N,1994,Student,6020,Innsbruck,\N,7D
NEOS,287,Rützler,Otmar,\N,1948,Pensionist,6020,Innsbruck,\N,7D
NEOS,288,Schabauer,Daniel,\N,1993,Process Manager,1150,Wien,9,\N
NEOS,289,Schaffenrath,Maria,Dr.,1951,Pensionistin,6112,Wattens,7,7B
NEOS,290,Schally,Valerian,\N,1997,Student,9020,Klagenfurt,\N,2A
NEOS,291,Scharka,Josef,Ing.,1964,Systemanalytiker,1030,Wien,9,9A
NEOS,292,Scheffknecht,Peter,Dipl.-Ing. (FH),1983,Leitender Angestellter,6800,Feldkirch,\N,8B
NEOS,293,Scheffknecht,Sabine,\N,1978,Unternehmerin,6890,Lustenau,8,8A
NEOS,294,Schirak,Dieter,Ing.,1969,Entwicklungsingenieur,6020,Innsbruck,7,7E
NEOS,295,Schmider,Albert,Ing.,1969,Unternehmer,6341,Ebbs,7,7C
NEOS,296,Schmitzer,Peter,\N,1946,Pensionist,4020,Linz,4,4A
NEOS,297,Schumacher,Lukas,\N,1992,Angestellter,6425,Haiming,\N,7A
NEOS,298,Schumi,Franziska,\N,1984,Angestellte,6233,Kramsach,7,7C
NEOS,299,Schwartz,Stefan,Mag. (FH),1972,Angestellter,2624,Breitenau,3,3E
