Partei,Lfd. Nr.,Familienname,Vorname,Titel,Geb. Jahr,Beruf,PLZ,Ort,LPL,RPL
FPÖ,201,Hacker,Marianne,\N,1964,Unternehmerin,4780,Schärding,4,4B
FPÖ,202,Reisinger,Michaela,Ing.,1986,Landesbedienstete,8072,Fernitz-Mellach,6,6A
FPÖ,203,Unger,Herbert,\N,1966,Berufssoldat,7000,Eisenstadt,\N,1A
FPÖ,204,Teufel,Reinhard,Ing. Mag.,1979,"Förster, Beamter",3295,Lackenhof,3,3C
FPÖ,205,Zuckerstätter,Anton,Ing.,1962,Bau- und Zimmermeister,5411,Oberalm,5,5B
FPÖ,206,Casotti,Marco,"MA, BSc",1983,Leiter Innovationsmanagement,6063,Rum,7,7B
FPÖ,207,Arnold,Franz,Mag.,1947,Beamter i. R.,9210,Pörtschach,2,\N
FPÖ,208,Spalt,Thomas Georg,\N,1985,Angestellter,6800,Feldkirch,8,8B
FPÖ,209,Winkler,Hans-Volker,\N,1945,Landesrat a. D.,5661,Rauris,5,5C
FPÖ,210,Kohlbauer,Leo,\N,1987,Angestellter,1060,Wien,\N,9B
FPÖ,211,Pitschko,Josef,Mag. Dr.,1953,Ministerialrat,3400,Klosterneuburg,\N,\N
FPÖ,212,Binder,Sabine,\N,1971,Selbstständige Friseurmeisterin,4702,Wallern,4,4C
FPÖ,213,Moitzi,Gudrun,Mag.,1968,Landwirt,8831,Oberwölz,6,6D
FPÖ,214,Schweighart,Thomas,\N,1965,Militärberufsunteroffizier,5760,Saalfelden,5,\N
FPÖ,215,Schwendter,Bernhard,\N,1966,Schlossermeister,6370,Kitzbühel,7,7C
FPÖ,216,Hosp,Nicole,\N,1982,Bürokauffrau,6890,Lustenau,\N,8A
FPÖ,217,Bieber,Alfred,\N,1970,Unternehmer,7532,Litzelsdorf,\N,\N
FPÖ,218,Apfelthaler-Bejvl,Kerstin,Dr.,1976,Amtsärztin,4490,St. Florian,4,4A
FPÖ,219,Voraber,Volker,\N,1983,Selbstständig,8282,Loipersdorf,6,6B
FPÖ,220,Sulzberger,Benno,\N,1947,Pensionist,3525,Sallingberg,3,\N
FPÖ,221,Pasteiner,Josef,Mag. Dr.,1949,AHS-Professor i. R.,2700,Wiener Neustadt,3,3E
FPÖ,222,Bernadi,Markus,\N,1982,Berufsunteroffizier,6460,Imst,7,7D
FPÖ,223,Frühmesser,Lisa,\N,1992,Landtagsabgeordnete,1080,Wien,9,\N
FPÖ,224,Jäger,Michael Gottfried,\N,1969,Sicherheitswachebeamter,1230,Wien,\N,\N
FPÖ,225,Schmeitzl,Ulrike,Mag. Dr.,1961,Professorin,4651,Stadl-Paura,4,4C
FPÖ,226,Schmidt,Andreas,\N,1990,Unteroffizier,8593,Graden,6,6C
FPÖ,227,Költringer,Hannes,\N,1980,Landwirt,5162,Obertrum am See,5,5B
FPÖ,228,Raggl,Anton,\N,1965,Polizist,9900,Lienz,\N,7E
FPÖ,229,Weisshaupt,Mario,Ing.,1974,Geschäftsführer,9412,St. Margarethen,2,\N
FPÖ,230,Dadak,Michael,\N,1958,Selbstständig,1120,Wien,9,9D
FPÖ,231,Gehl,Thomas,\N,1976,Vertriebsleiter,6812,Meiningen,\N,8B
FPÖ,232,Dullnig,Raimund,\N,1943,Pensionist,5550,Radstadt,5,\N
FPÖ,233,Moser,Peter Karl,\N,1958,Pensionist,7322,Lackenbach,\N,\N
FPÖ,234,Kappl,Ulrike,\N,1959,Angestellte,4481,Asten,4,4A
FPÖ,235,Moser,Rudolf,Mag.,1956,Polizeibeamter,8020,Graz,6,6A
FPÖ,236,Schett,Dominik,\N,1994,Maler,9920,Sillian,7,7E
FPÖ,237,Stumpf,Michael,BA,1988,Angestellter,1030,Wien,9,9A
FPÖ,238,Resch,Willibald,\N,1966,Sanitäter,5600,St. Johann im Pongau,\N,5C
FPÖ,239,Maire,Silvia Anna,\N,1961,Selbstständig,7332,Kobersdorf,\N,\N
FPÖ,240,Posch,Maria Elisabeth,\N,1971,Konditorin,8605,Kapfenberg,6,6D
FPÖ,241,Hofer,Margot,Dipl.-Vw.,1943,Landesrätin a. D.,5020,Salzburg,5,5A
FPÖ,242,Petauer,Nina,Mag. Dr.,1973,Vertragsbedienstete,9063,Maria Saal,2,\N
FPÖ,243,Gritzer,Ulrike,\N,1971,Sachbearbeiterin,6811,Göfis,\N,8B
FPÖ,244,Klary,Helga,\N,1976,Hotelierin,5563,Tweng,\N,5C
FPÖ,245,Swoboda,Norbert,\N,1989,Exekutivbediensteter,1180,Wien,\N,\N
FPÖ,246,Huber,Karl,\N,1971,ÖBB-Bediensteter,3380,Pöchlarn,\N,\N
FPÖ,247,Schreck,Elisabeth,\N,1971,Landwirtin,8160,Naas,6,6B
FPÖ,248,Gasser,Remo,\N,1987,"Koch, Kellner",6632,Ehrwald,7,7D
FPÖ,249,Portenkirchner,Martin,\N,1972,Mischmeister,5662,Gries,\N,5C
FPÖ,250,Drahosch,Barbara,MBA,1966,Selbstständig,1040,Wien,\N,9E
FPÖ,251,Koschat,Michael,\N,1974,Versicherungskaufmann,6822,Satteins,\N,8B
FPÖ,252,Niegl,Michael,\N,1967,Beamter,1210,Wien,9,\N
FPÖ,253,Pohler,Wolfgang,\N,1964,Chemiefacharbeiter,5121,Tarsdorf,4,4B
FPÖ,254,Schraml,Tatjana,\N,1995,Studentin,7122,Gols,\N,\N
FPÖ,255,Grubelnik,Lisa,\N,1994,Bankkauffrau,8552,Eibiswald,6,6C
FPÖ,256,Horvath,Thomas,\N,1981,Bürokaufmann,6500,Grins,7,7D
FPÖ,257,Pfeiler,Stefan,\N,1991,Gebietsbetreuer,5020,Salzburg,\N,5A
FPÖ,258,Baumgartner,Jens,\N,1979,Vertriebs- und Projektingenieur,4663,Laakirchen,4,4D
FPÖ,259,Steindl,Markus,Ing. Mag. (FH) Dr.,1981,Vertragsbediensteter,9201,Krumpendorf,2,\N
FPÖ,260,Berger,Tina Angela,\N,1981,Vertragsbedienstete,9811,Lendorf,\N,\N
FPÖ,261,Kleppich,Jürgen,MA,1969,Angestellter,1150,Wien,\N,9C
FPÖ,262,Scherz,Gerhard,\N,1973,Betriebsratsvorsitzender,2833,Bromberg,3,\N
FPÖ,263,Spanring,Andreas Arthur,\N,1978,Justizwachebeamter,3443,Sieghartskirchen,\N,3D
FPÖ,264,Wibmer,André,\N,1992,Berufsunteroffizier,9971,Matrei in Osttirol,7,7E
FPÖ,265,Reicher,Martina,\N,1988,Büroangestellte,8755,St. Peter,6,6D
FPÖ,266,Lorenz,Thomas,\N,1968,Rauchfangkehrer,6342,Niederndorf,7,7C
FPÖ,267,Forstner,Silvia,Mag.,1968,Diplomierte Sozialpädagogin,1230,Wien,9,\N
